Frame #,Elbow Pink X,Elbow Pink Y,Hand Pink X,Hand Pink Y
1,969.5578002929688,900.4898071289062,725.00146484375,993.9735717773438
2,969.36572265625,900.8137817382812,724.83544921875,993.9742431640625
3,969.439697265625,901.2098999023438,724.796630859375,993.796630859375
4,969.7782592773438,902.2120971679688,724.9434814453125,994.1469116210938
5,969.695556640625,902.8485107421875,724.8248901367188,994.8801879882812
6,969.7652587890625,903.2347412109375,725.0516357421875,994.8421630859375
7,969.9661254882812,903.671875,724.6423950195312,995.0372314453125
8,969.646484375,904.1115112304688,724.6423950195312,995.0372314453125
9,969.6097412109375,905.0189819335938,724.6423950195312,995.0372314453125
10,969.4268188476562,905.0555419921875,723.6129760742188,995.0155639648438
11,969.4268188476562,905.0555419921875,723.3048706054688,995.2432861328125
12,969.4268188476562,905.0555419921875,723.3048706054688,995.2432861328125
13,969.3092651367188,905.3434448242188,723.2023315429688,995.577880859375
14,969.3092651367188,905.3434448242188,723.2023315429688,995.577880859375
15,969.1018676757812,905.5,723.136474609375,996.0430908203125
16,969.1018676757812,905.5,722.92626953125,996.4547119140625
17,968.8193359375,905.420166015625,723.2024536132812,996.73974609375
18,968.508544921875,905.5875854492188,723.2024536132812,996.73974609375
19,968.508544921875,905.5875854492188,723.2024536132812,996.73974609375
20,968.5,905.8267211914062,723.2024536132812,996.73974609375
21,967.9437866210938,906.111083984375,723.2024536132812,996.73974609375
22,967.9437866210938,906.111083984375,723.0648803710938,996.6165161132812
23,967.6097412109375,905.9810180664062,722.92626953125,996.4547119140625
24,967.6097412109375,905.9810180664062,722.92626953125,996.4547119140625
25,967.4386596679688,906.2843017578125,722.9348754882812,996.4077758789062
26,967.4386596679688,906.2843017578125,722.9348754882812,996.4077758789062
27,967.5,906.0680541992188,722.7886352539062,996.6978759765625
28,967.26220703125,906.0988159179688,722.8779296875,996.85595703125
29,967.3902587890625,905.9810180664062,722.8779296875,996.85595703125
30,967.26220703125,906.0988159179688,722.8779296875,996.85595703125
